id,value,date
1420,27.1,2016-07-20
1420,21.6,2016-07-21
1420,23.1,2016-07-22
1420,21.3,2016-07-23
1420,22.1,2016-07-24
1420,23.3,2016-07-25
1420,22.5,2016-07-26
1420,21.3,2016-07-27
1420,20.3,2016-07-28
1420,20.9,2016-07-29
1420,21.9,2016-07-30
1420,19.3,2016-07-31
1420,18.1,2016-08-01
1420,16.4,2016-08-02
1420,19.3,2016-08-03
1420,18.5,2016-08-04
1420,18.2,2016-08-05
1420,18.7,2016-08-06
1420,20,2016-08-07
1420,20.5,2016-08-08
1420,17.8,2016-08-09
1420,13.7,2016-08-10
1420,13.5,2016-08-11
1420,17,2016-08-12
1420,21.3,2016-08-13
1420,20.8,2016-08-14
1420,21.5,2016-08-15
1420,20.7,2016-08-16
1420,20,2016-08-17
1420,19.2,2016-08-18
1420,20.3,2016-08-19
1420,17.5,2016-08-20
1420,16.6,2016-08-21
1420,16.7,2016-08-22
1420,20.2,2016-08-23
1420,23.9,2016-08-24
1420,24.6,2016-08-25
1420,24.8,2016-08-26
1420,27.1,2016-08-27
1420,25.1,2016-08-28
1420,21.3,2016-08-29
1420,20.7,2016-08-30
1420,21.2,2016-08-31
1420,22.4,2016-09-01
1420,20,2016-09-02
1420,20.8,2016-09-03
1420,17.9,2016-09-04
1420,17.5,2016-09-05
1420,18.5,2016-09-06
1420,20.6,2016-09-07
1420,21.8,2016-09-08
1420,21.7,2016-09-09
1420,22.4,2016-09-10
1420,22.2,2016-09-11
1420,23.7,2016-09-12
1420,24.3,2016-09-13
1420,24.8,2016-09-14
1420,22.6,2016-09-15
1420,17.7,2016-09-16
1420,16.2,2016-09-17
1420,18.1,2016-09-18
1420,15.2,2016-09-19
1420,15.8,2016-09-20
1420,13.9,2016-09-21
1420,14.1,2016-09-22
1420,15,2016-09-23
1420,15.6,2016-09-24
1420,16.7,2016-09-25
1420,17.7,2016-09-26
1420,16.7,2016-09-27
1420,16.2,2016-09-28
1420,18.7,2016-09-29
1420,15.3,2016-09-30
1420,14.4,2016-10-01
1420,13.2,2016-10-02
1420,11.8,2016-10-03
1420,11,2016-10-04
1420,10.1,2016-10-05
1420,9.9,2016-10-06
1420,11.7,2016-10-07
1420,9.6,2016-10-08
1420,9.1,2016-10-09
1420,8.9,2016-10-10
1420,9.4,2016-10-11
1420,8.6,2016-10-12
1420,8,2016-10-13
1420,10.8,2016-10-14
1420,11,2016-10-15
1420,10.8,2016-10-16
1420,9.8,2016-10-17
1420,11.2,2016-10-18
1420,9.3,2016-10-19
1420,7.7,2016-10-20
1420,7.2,2016-10-21
1420,7.3,2016-10-22
1420,8.1,2016-10-23
1420,9.8,2016-10-24
1420,11.8,2016-10-25
1420,9.4,2016-10-26
1420,7.9,2016-10-27
1420,9.6,2016-10-28
1420,10.2,2016-10-29
1420,8.4,2016-10-30
1420,8.8,2016-10-31
1420,5.4,2016-11-01
1420,7.2,2016-11-02
1420,4.5,2016-11-03
1420,3.4,2016-11-04
1420,6.1,2016-11-05
1420,4.5,2016-11-06
1420,3.6,2016-11-07
1420,2.2,2016-11-08
1420,3.4,2016-11-09
1420,5.2,2016-11-10
1420,5,2016-11-11
1420,2.1,2016-11-12
1420,1.9,2016-11-13
1420,0.2,2016-11-14
1420,2.6,2016-11-15
1420,8.2,2016-11-16
1420,10.7,2016-11-17
1420,9.9,2016-11-18
1420,6.8,2016-11-19
1420,9.3,2016-11-20
1420,9.7,2016-11-21
1420,8.3,2016-11-22
1420,9.4,2016-11-23
1420,10.5,2016-11-24
1420,7.7,2016-11-25
1420,6.4,2016-11-26
1420,5.8,2016-11-27
1420,1.1,2016-11-28
1420,-1,2016-11-29
1420,-2.1,2016-11-30
1420,3,2016-12-01
1420,5,2016-12-02
1420,-0.3,2016-12-03
1420,-1.8,2016-12-04
1420,-3.2,2016-12-05
1420,-2.2,2016-12-06
1420,-1.4,2016-12-07
1420,-0.8,2016-12-08
1420,1.9,2016-12-09
1420,2.4,2016-12-10
1420,7.8,2016-12-11
1420,6.4,2016-12-12
1420,2.8,2016-12-13
1420,5.1,2016-12-14
1420,6.5,2016-12-15
1420,3.6,2016-12-16
1420,2.2,2016-12-17
1420,3.4,2016-12-18
1420,3.9,2016-12-19
1420,0.8,2016-12-20
1420,-0.8,2016-12-21
1420,0.2,2016-12-22
1420,3,2016-12-23
1420,7,2016-12-24
1420,8.5,2016-12-25
1420,8,2016-12-26
1420,5.1,2016-12-27
1420,4.8,2016-12-28
1420,1.5,2016-12-29
1420,-1.5,2016-12-30
1420,-3.5,2016-12-31
1420,-3,2017-01-01
1420,0.4,2017-01-02
1420,1,2017-01-03
1420,2.7,2017-01-04
1420,-0.5,2017-01-05
1420,-6.1,2017-01-06
1420,-6.5,2017-01-07
1420,-0.6,2017-01-08
1420,0.4,2017-01-09
1420,-0.2,2017-01-10
1420,1.6,2017-01-11
1420,4.3,2017-01-12
1420,2.4,2017-01-13
1420,2.2,2017-01-14
1420,0.9,2017-01-15
1420,-2.6,2017-01-16
1420,-1.4,2017-01-17
1420,-2.6,2017-01-18
1420,-2.8,2017-01-19
1420,-2.3,2017-01-20
1420,-1.8,2017-01-21
1420,-4.7,2017-01-22
1420,-6.7,2017-01-23
1420,-2.5,2017-01-24
1420,-1.6,2017-01-25
1420,-0.4,2017-01-26
1420,-1.9,2017-01-27
1420,-1.7,2017-01-28
1420,-0.6,2017-01-29
1420,2.2,2017-01-30
1420,3.6,2017-01-31
1420,3.8,2017-02-01
1420,5.1,2017-02-02
1420,5.6,2017-02-03
1420,5.8,2017-02-04
1420,5.6,2017-02-05
1420,4.8,2017-02-06
1420,3.9,2017-02-07
1420,2.4,2017-02-08
1420,0.3,2017-02-09
1420,0.4,2017-02-10
1420,3.2,2017-02-11
1420,2.8,2017-02-12
1420,4.3,2017-02-13
1420,3.6,2017-02-14
1420,2.1,2017-02-15
1420,4.2,2017-02-16
1420,6.2,2017-02-17
1420,6.3,2017-02-18
1420,2.9,2017-02-19
1420,7.7,2017-02-20
1420,10.3,2017-02-21
1420,10.7,2017-02-22
1420,9.9,2017-02-23
1420,5.5,2017-02-24
1420,2.8,2017-02-25
1420,8.3,2017-02-26
1420,11.2,2017-02-27
1420,6.1,2017-02-28
1420,6.8,2017-03-01
1420,8.6,2017-03-02
1420,6.7,2017-03-03
1420,9.2,2017-03-04
1420,7.3,2017-03-05
1420,6.2,2017-03-06
1420,6.1,2017-03-07
1420,4.6,2017-03-08
1420,10.2,2017-03-09
1420,7.9,2017-03-10
1420,6.7,2017-03-11
1420,7.2,2017-03-12
1420,6.7,2017-03-13
1420,7.8,2017-03-14
1420,10.2,2017-03-15
1420,8.5,2017-03-16
1420,8.1,2017-03-17
1420,9.8,2017-03-18
1420,12.2,2017-03-19
1420,12.1,2017-03-20
1420,9.2,2017-03-21
1420,6.9,2017-03-22
1420,9.7,2017-03-23
1420,10.2,2017-03-24
1420,10.8,2017-03-25
1420,10.6,2017-03-26
1420,11,2017-03-27
1420,12.8,2017-03-28
1420,13.9,2017-03-29
1420,15.6,2017-03-30
1420,15.3,2017-03-31
1420,13.9,2017-04-01
