id,date,value
1420,2016-01-01,0
1420,2016-01-02,9.4
1420,2016-01-03,5.3
1420,2016-01-04,3.9
1420,2016-01-05,3.6
1420,2016-01-06,0.1
1420,2016-01-07,5.6
1420,2016-01-08,0
1420,2016-01-09,1.8
1420,2016-01-10,5.5
1420,2016-01-11,9.2
1420,2016-01-12,1.8
1420,2016-01-13,3.5
1420,2016-01-14,2.2
1420,2016-01-15,1.4
1420,2016-01-16,1.5
1420,2016-01-17,0
1420,2016-01-18,0
1420,2016-01-19,0
1420,2016-01-20,0
1420,2016-01-21,0
1420,2016-01-22,3.8
1420,2016-01-23,0
1420,2016-01-24,1.1
1420,2016-01-25,0
1420,2016-01-26,0
1420,2016-01-27,0.5
1420,2016-01-28,0.8
1420,2016-01-29,0
1420,2016-01-30,4
1420,2016-01-31,1.8
1420,2016-02-01,0
1420,2016-02-02,4.8
1420,2016-02-03,0.5
1420,2016-02-04,6.2
1420,2016-02-05,0.1
1420,2016-02-06,0
1420,2016-02-07,1.1
1420,2016-02-08,9.9
1420,2016-02-09,12.9
1420,2016-02-10,2.6
1420,2016-02-11,0
1420,2016-02-12,0
1420,2016-02-13,8.2
1420,2016-02-14,0.9
1420,2016-02-15,0.3
1420,2016-02-16,0
1420,2016-02-17,0
1420,2016-02-18,0
1420,2016-02-19,1.3
1420,2016-02-20,17.6
1420,2016-02-21,1
1420,2016-02-22,9.5
1420,2016-02-23,5
1420,2016-02-24,0
1420,2016-02-25,0
1420,2016-02-26,0
1420,2016-02-27,0
1420,2016-02-28,0
1420,2016-02-29,0
1420,2016-03-01,3.4
1420,2016-03-02,3.4
1420,2016-03-03,0.1
1420,2016-03-04,8.5
1420,2016-03-05,0.6
1420,2016-03-06,2.7
1420,2016-03-07,1
1420,2016-03-08,0
1420,2016-03-09,0
1420,2016-03-10,0
1420,2016-03-11,0
1420,2016-03-12,0
1420,2016-03-13,0
1420,2016-03-14,0
1420,2016-03-15,0.2
1420,2016-03-16,0
1420,2016-03-17,0
1420,2016-03-18,0
1420,2016-03-19,0
1420,2016-03-20,0
1420,2016-03-21,0
1420,2016-03-22,0
1420,2016-03-23,0
1420,2016-03-24,0.1
1420,2016-03-25,6.7
1420,2016-03-26,0
1420,2016-03-27,0.4
1420,2016-03-28,9.2
1420,2016-03-29,0
1420,2016-03-30,2.9
