datum,forecast,random_forest,arima,bayesian
2020-06-08T00:00:00Z,263.02091525608023,128.5985666666667,143.30707311097,132.05828661104917
2020-06-09T00:00:00Z,266.79103517317185,127.24233333333333,148.38440236781,132.0752681632315
2020-06-10T00:00:00Z,270.66477499872553,128.64243333333334,149.346220978985,132.79722725099234
2020-06-11T00:00:00Z,272.9345983002207,126.04690000000001,148.518788013666,132.3580780939309
2020-06-12T00:00:00Z,273.68427296562993,125.39313333333335,147.015726378146,135.15615963731085
2020-06-13T00:00:00Z,274.7167094239931,132.63333333333338,145.232649310948,134.5013154655341
2020-06-14T00:00:00Z,275.95402186227494,133.23873333333336,143.403321625973,135.18403491699442
2020-06-15T00:00:00Z,278.04522397596173,137.9946666666666,141.733718523181,135.2850040263871
2020-06-16T00:00:00Z,280.04521321545457,137.57056666666665,140.35657801212,135.29574389761515
2020-06-17T00:00:00Z,281.833743702973,142.1548,139.312370093786,135.76564623031774
